,CV AUC,CV Std
Random Forest,0.953633589072917,0.0017570527087080933
LightGBM,0.9496124939123582,0.001496448060827063
XGBoost,0.9438113203041791,0.0015377386319384882
Gradient Boosting,0.9265454399536603,0.002118671006974002
Logistic Regression,0.8974425511292201,0.0019041318542897883
Decision Tree,0.8494073589476528,0.0030618481512342584
